ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
916058,1001,★★★,Scarecrow,,1,0,0,100,x1,★★★,,514,514,2,1,1,0,0,,0,,50,,,Locked
916059,2003,★★,Aegis,S,1,0,0,100,x1,★★,,121,121,0,0,1,0,0,,0,,50,,,Locked
916060,3001,★,Ripper,M,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,Locked
916061,3005,★,Striker,M,13,6000,200,800,x3,★★,◆◆,219,219,0,0,0,0,0,,0,,50,,,Locked
916063,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,Locked
916251,3009,★,Jaguar,L,1,0,0,100,x1,★,,48,48,0,0,0,0,0,,0,,50,,,Locked
916257,3002,★,Vespid,M,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,Locked
916261,3001,★,Ripper,L,1,0,0,100,x1,★,,82,82,0,0,0,0,0,,0,,50,,,Locked
916265,3007,★,Scout,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,Locked
916269,3008,★,Prowler,M,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,
916271,3007,★,Scout,M,1,0,0,100,x1,★,,62,62,0,0,0,0,0,,0,,50,,,
916273,3006,★,Dinergate,S,1,0,0,100,x1,★,,32,32,0,0,0,0,0,,0,,50,,,Locked
916278,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
